phrase,model,latency_ms,status,output_file
kids bed centre ligh,Sarvam,1027.89,Success,../outputs/propernouns/sarvam/proper_154.wav
kids bed n,ElevenLabs,1254.25,Success,../outputs/propernouns/elevenlabs/proper_155.mp3
kids bed n,Sarvam,1116.81,Success,../outputs/propernouns/sarvam/proper_155.wav
kids bed scene,ElevenLabs,1380.31,Success,../outputs/propernouns/elevenlabs/proper_156.mp3
kids bed scene,Sarvam,1149.51,Success,../outputs/propernouns/sarvam/proper_156.wav
kids bed side light,ElevenLabs,1384.94,Success,../outputs/propernouns/elevenlabs/proper_157.mp3
kids bed side light,Sarvam,1230.68,Success,../outputs/propernouns/sarvam/proper_157.wav
kids bed side lt,ElevenLabs,1481.01,Success,../outputs/propernouns/elevenlabs/proper_158.mp3
kids bed side lt,Sarvam,1296.47,Success,../outputs/propernouns/sarvam/proper_158.wav
kids bed room,ElevenLabs,1674.49,Success,../outputs/propernouns/elevenlabs/proper_159.mp3
kids bed room,Sarvam,1197.88,Success,../outputs/propernouns/sarvam/proper_159.wav
kids bedroom,ElevenLabs,1104.31,Success,../outputs/propernouns/elevenlabs/proper_160.mp3
kids bedroom,Sarvam,1121.37,Success,../outputs/propernouns/sarvam/proper_160.wav
kids bedroom fan,ElevenLabs,1323.49,Success,../outputs/propernouns/elevenlabs/proper_161.mp3
kids bedroom fan,Sarvam,1017.71,Success,../outputs/propernouns/sarvam/proper_161.wav
kids bedroom geyser,ElevenLabs,1574.89,Success,../outputs/propernouns/elevenlabs/proper_162.mp3
kids bedroom geyser,Sarvam,1770.74,Success,../outputs/propernouns/sarvam/proper_162.wav
kids bedroom gyser,ElevenLabs,1124.65,Success,../outputs/propernouns/elevenlabs/proper_163.mp3
kids bedroom gyser,Sarvam,1277.37,Success,../outputs/propernouns/sarvam/proper_163.wav
kids bedroom fan,ElevenLabs,1442.02,Success,../outputs/propernouns/elevenlabs/proper_164.mp3
kids bedroom fan,Sarvam,1489.95,Success,../outputs/propernouns/sarvam/proper_164.wav
kids blackout,ElevenLabs,1085.55,Success,../outputs/propernouns/elevenlabs/proper_165.mp3
kids blackout,Sarvam,853.65,Success,../outputs/propernouns/sarvam/proper_165.wav
kids blands,ElevenLabs,1628.82,Success,../outputs/propernouns/elevenlabs/proper_166.mp3
kids blands,Sarvam,1607.0,Success,../outputs/propernouns/sarvam/proper_166.wav
kids button light,ElevenLabs,1240.08,Success,../outputs/propernouns/elevenlabs/proper_167.mp3
kids button light,Sarvam,910.46,Success,../outputs/propernouns/sarvam/proper_167.wav
kids cove,ElevenLabs,1053.45,Success,../outputs/propernouns/elevenlabs/proper_168.mp3
kids cove,Sarvam,1184.53,Success,../outputs/propernouns/sarvam/proper_168.wav
kids cove light,ElevenLabs,1270.07,Success,../outputs/propernouns/elevenlabs/proper_169.mp3
kids cove light,Sarvam,1011.15,Success,../outputs/propernouns/sarvam/proper_169.wav
kids curtain,ElevenLabs,1367.95,Success,../outputs/propernouns/elevenlabs/proper_170.mp3
kids curtain,Sarvam,1129.52,Success,../outputs/propernouns/sarvam/proper_170.wav
kids dim,ElevenLabs,1339.14,Success,../outputs/propernouns/elevenlabs/proper_171.mp3
kids dim,Sarvam,992.36,Success,../outputs/propernouns/sarvam/proper_171.wav
kids dimmer,ElevenLabs,1275.66,Success,../outputs/propernouns/elevenlabs/proper_172.mp3
kids dimmer,Sarvam,1071.86,Success,../outputs/propernouns/sarvam/proper_172.wav
kids downlight,ElevenLabs,1074.86,Success,../outputs/propernouns/elevenlabs/proper_173.mp3
kids downlight,Sarvam,1282.47,Success,../outputs/propernouns/sarvam/proper_173.wav
kids downlight one,ElevenLabs,1434.12,Success,../outputs/propernouns/elevenlabs/proper_174.mp3
kids downlight one,Sarvam,1518.63,Success,../outputs/propernouns/sarvam/proper_174.wav
kids downlight two,ElevenLabs,1477.28,Success,../outputs/propernouns/elevenlabs/proper_175.mp3
kids downlight two,Sarvam,1058.09,Success,../outputs/propernouns/sarvam/proper_175.wav
kids entrance,ElevenLabs,1308.69,Success,../outputs/propernouns/elevenlabs/proper_176.mp3
kids entrance,Sarvam,1337.41,Success,../outputs/propernouns/sarvam/proper_176.wav
kids fan,ElevenLabs,1130.2,Success,../outputs/propernouns/elevenlabs/proper_177.mp3
kids fan,Sarvam,1023.81,Success,../outputs/propernouns/sarvam/proper_177.wav
kids four,ElevenLabs,1303.23,Success,../outputs/propernouns/elevenlabs/proper_178.mp3
kids four,Sarvam,926.39,Success,../outputs/propernouns/sarvam/proper_178.wav
kids geyser,ElevenLabs,1418.43,Success,../outputs/propernouns/elevenlabs/proper_179.mp3
kids geyser,Sarvam,978.17,Success,../outputs/propernouns/sarvam/proper_179.wav
kids laser one,ElevenLabs,1704.34,Success,../outputs/propernouns/elevenlabs/proper_180.mp3
kids laser one,Sarvam,1369.97,Success,../outputs/propernouns/sarvam/proper_180.wav
kids middle light,ElevenLabs,1487.42,Success,../outputs/propernouns/elevenlabs/proper_181.mp3
kids middle light,Sarvam,1238.16,Success,../outputs/propernouns/sarvam/proper_181.wav
kids one,ElevenLabs,1288.66,Success,../outputs/propernouns/elevenlabs/proper_182.mp3
kids one,Sarvam,984.61,Success,../outputs/propernouns/sarvam/proper_182.wav
kids panel light one,ElevenLabs,1391.58,Success,../outputs/propernouns/elevenlabs/proper_183.mp3
kids panel light one,Sarvam,1092.87,Success,../outputs/propernouns/sarvam/proper_183.wav
kids panel light two,ElevenLabs,1441.87,Success,../outputs/propernouns/elevenlabs/proper_184.mp3
kids panel light two,Sarvam,1136.52,Success,../outputs/propernouns/sarvam/proper_184.wav
kids relay,ElevenLabs,1115.78,Success,../outputs/propernouns/elevenlabs/proper_185.mp3
kids relay,Sarvam,1319.26,Success,../outputs/propernouns/sarvam/proper_185.wav
kids room,ElevenLabs,1324.87,Success,../outputs/propernouns/elevenlabs/proper_186.mp3
kids room,Sarvam,1055.11,Success,../outputs/propernouns/sarvam/proper_186.wav
kids room ac,ElevenLabs,1255.98,Success,../outputs/propernouns/elevenlabs/proper_187.mp3
kids room ac,Sarvam,1033.9,Success,../outputs/propernouns/sarvam/proper_187.wav
kids room cob light,ElevenLabs,1378.95,Success,../outputs/propernouns/elevenlabs/proper_188.mp3
kids room cob light,Sarvam,1177.11,Success,../outputs/propernouns/sarvam/proper_188.wav
kids room entry,ElevenLabs,1191.16,Success,../outputs/propernouns/elevenlabs/proper_189.mp3
kids room entry,Sarvam,1364.95,Success,../outputs/propernouns/sarvam/proper_189.wav
kids room entry two,ElevenLabs,1255.42,Success,../outputs/propernouns/elevenlabs/proper_190.mp3
kids room entry two,Sarvam,1210.83,Success,../outputs/propernouns/sarvam/proper_190.wav
kids room ety,ElevenLabs,1340.24,Success,../outputs/propernouns/elevenlabs/proper_191.mp3
kids room ety,Sarvam,1200.4,Success,../outputs/propernouns/sarvam/proper_191.wav
kids room fan,ElevenLabs,1475.93,Success,../outputs/propernouns/elevenlabs/proper_192.mp3
kids room fan,Sarvam,997.32,Success,../outputs/propernouns/sarvam/proper_192.wav
kids room fan,ElevenLabs,1361.48,Success,../outputs/propernouns/elevenlabs/proper_193.mp3
kids room fan,Sarvam,1660.21,Success,../outputs/propernouns/sarvam/proper_193.wav
kids room geysar,ElevenLabs,1421.64,Success,../outputs/propernouns/elevenlabs/proper_194.mp3
kids room geysar,Sarvam,1005.35,Success,../outputs/propernouns/sarvam/proper_194.wav
kids room lights,ElevenLabs,1295.1,Success,../outputs/propernouns/elevenlabs/proper_195.mp3
kids room lights,Sarvam,869.12,Success,../outputs/propernouns/sarvam/proper_195.wav
kids room dimmy,ElevenLabs,1263.81,Success,../outputs/propernouns/elevenlabs/proper_196.mp3
kids room dimmy,Sarvam,1358.22,Success,../outputs/propernouns/sarvam/proper_196.wav
kids room fan,ElevenLabs,1204.21,Success,../outputs/propernouns/elevenlabs/proper_197.mp3
kids room fan,Sarvam,950.7,Success,../outputs/propernouns/sarvam/proper_197.wav
kids spot,ElevenLabs,1223.69,Success,../outputs/propernouns/elevenlabs/proper_198.mp3
kids spot,Sarvam,718.36,Success,../outputs/propernouns/sarvam/proper_198.wav
kids strip,ElevenLabs,1063.08,Success,../outputs/propernouns/elevenlabs/proper_199.mp3
kids strip,Sarvam,1260.76,Success,../outputs/propernouns/sarvam/proper_199.wav
kids study,ElevenLabs,1094.09,Success,../outputs/propernouns/elevenlabs/proper_200.mp3
kids study,Sarvam,910.43,Success,../outputs/propernouns/sarvam/proper_200.wav
